sample_id,method,user_id,period_start,period_type,diversity,normalized_diversity,temporal_coverage,temporal_breadth,context_precision,faithfulness_report,answer_relevancy_report,report_tokens_used,report_generation_time,generated_text
21_week_2024-12-30,baseline_rag,21,2024-12-30,week,,,,,,0.19230769230769232,3,7514,4.6699745655059814,"{""title"":""Щотижневий звіт 30.12.2024 – 05.01.2025"",""summary"":""Цього тижня головним фокусом було обережне й послідовне повернення до регулярного бігу. У записах багато спокійних легких пробіжок, інтервалів, відновлення та уважного ставлення до сигналів тіла — це дало відчуття, що база під півмарафон реально збирається."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""За тиждень було зроблено кілька легких пробіжок, інтервали з ходьбою та короткі контрольні тренування, а також силову підтримку для кора, сідниць і ніг. Особливо помітні маленькі перемоги: рівніше дихання, спокійніший темп, повернення відчуття ритму та перші пробіжки довжиною майже 3–4 км і більше. Окремо видно, що з’являється впевненість у довших дистанціях і думка про півмарафон уже не викликає страху.""}],""tone"":{""word"":""Focused"",""scale"":6,""description"":""Тиждень виглядає сфокусованим, бо в записах багато свідомих рішень: тренуватися обережно, коригувати навантаження, додавати відновлення і тримати регулярність. Є чітке відчуття руху до мети без метушні та зростання впевненості.""},""what_worked"":[{""title"":""Легкий темп"",""description"":""Спокійний біг без поспіху допомагав тримати регулярність і помічати прогрес у диханні та відчутті ритму.""},{""title"":""Інтервали з ходьбою"",""description"":""Чергування бігу й ходьби дозволяло поступово збільшувати навантаження без зайвої напруги.""},{""title"":""Відновлення та розтяжка"",""description"":""Розтяжка, ходьба й інші відновлювальні дні допомагали берегти тіло й повертатися до бігу спокійніше.""},{""title"":""Уважність до сигналів тіла"",""description"":""Коли з’являвся дискомфорт або важкість, зменшення темпу чи дистанції дозволяло зберігати тренувальний ритм без зривів.""}]}"
21_week_2025-04-07,baseline_rag,21,2025-04-07,week,,,,,,0.5833333333333334,3,7487,5.524086952209473,"{""title"":""Weekly Report 07.04 – 13.04 2025"",""summary"":""Цього тижня головним фокусом було м’яке повернення до регулярного бігу з уважністю до тіла та темпу. У записах багато спокійних, обережних тренувань, після яких з’являлися ясніші думки, кращий настрій і відчуття, що форма поступово повертається."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""За тиждень було зроблено кілька коротких і легких пробіжок, інтервали з ходьбою, а також один силовий блок для кора й сідниць, щоб підтримати біг. Особливо помітні маленькі перемоги: 2 км після швидкої ходьби, майже 3 км спокійно, рівний темп і поступове повернення дихання до більш контрольованого ритму. Також видно, що підготовка вже виходить за межі просто повернення до руху — з’являються думки про півмарафон без страху та відчуття, що витривалість росте.""}],""tone"":{""word"":""Focused"",""scale"":5,""description"":""Тиждень виглядає зосередженим на послідовному поверненні до бігу й розумному дозуванні навантаження. Є чітка увага до техніки, відновлення та сигналів тіла, а також стабільне прагнення рухатися вперед без поспіху.""},""what_worked"":[{""title"":""Спокійний темп"",""description"":""Легкий темп допомагав тримати рівне дихання й завершувати тренування без зайвого тиску на результат.""},{""title"":""Інтервали з ходьбою"",""description"":""Чергування бігу й ходьби дозволяло повертати витривалість поступово й без паніки.""},{""title"":""Уважність до тіла"",""description"":""Коли з’являвся дискомфорт або втома, обережне зменшення обсягу допомагало зберігати стабільність і спокій.""},{""title"":""Біг після складного дня"",""description"":""Рух після роботи або емоційно важкого дня помітно розвантажував голову й покращував настрій.""}]}"
21_week_2025-04-21,baseline_rag,21,2025-04-21,week,,,,,,0.3333333333333333,5,16422,7.262959003448486,"{""title"":""Weekly Report 21.04 – 27.04"",""summary"":""Цього тижня головним фокусом було повернення до регулярного бігу в спокійному, обережному режимі: короткі пробіжки, інтервали, легкі відновлювальні дні та поступове збільшення дистанції. Паралельно англійська трималась на стабільній практиці граматики, слухання, speaking і лексики — з акцентом на корисні для роботи й подорожей теми. Загальне враження дуже міцне: тиждень дав відчуття дисципліни, спокою і реального просування вперед."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""За тиждень було багато конкретної бігової роботи: легкі пробіжки на 2–6 км, інтервальні відрізки, темпові шматки та один довший крос майже на 7,5 км. Особливо цінно, що ти кілька разів обирала розумне зниження навантаження, коли тіло просило обережності, і це підтримало стабільність без надриву. Помітні маленькі перемоги — рівніше дихання, спокійніший темп і відчуття, що півмарафон уже стає реальнішим планом, а не далеким образом.""},{""goal_id"":49,""name"":""Вивчити англійську до рівня B2"",""summary"":""Цього тижня була регулярна мовна практика: граматика, повторення слів, короткі розмови, слухання подкастів і серіалів, а також письмові вправи. Особливо корисними виглядають конкретні теми для життя й роботи — travel, office phrases, уточнення в дзвінках і базові розмовні шаблони. Маленький, але важливий прогрес видно в тому, що ти частіше розумієш головну думку, сміливіше говориш уголос і вже менше боїшся помилок.""}],""tone"":{""word"":""Focused"",""scale"":6,""description"":""Тиждень виглядає зібраним і цілеспрямованим: у бігу й англійській багато свідомих, практичних кроків без зайвої метушні. Відчувається стабільний рух, контроль над навантаженням і хороша концентрація на процесі.""},""what_worked"":[{""title"":""Спокійний біг замість гонитви за темпом"",""description"":""Легкі й рівні пробіжки допомагали тримати регулярність і водночас слухати тіло, особливо коли з’являлась втома чи дискомфорт.""},{""title"":""Практичні мовні теми"",""description"":""Лексика й фрази для роботи, подорожей та small talk добре заходили, бо одразу були пов’язані з реальними ситуаціями.""},{""title"":""Короткі, але регулярні сесії"",""description"":""Навіть невеликі блоки навчання та тренувань працювали добре, бо підтримували ритм і не давали випадати з процесу.""},{""title"":""Самоконтроль і гнучкість"",""description"":""Коли ти зменшувала навантаження або спрощувала заняття, це допомагало зберігати стабільність і не перетворювати тиждень на боротьбу.""}]}"
21_week_2025-05-05,baseline_rag,21,2025-05-05,week,,,,,,0.6764705882352942,5,16411,11.683716297149658,"{""title"":""Weekly Report 05.05 – 11.05 2025"",""summary"":""Цього тижня фокус був на м’якому, але регулярному поверненні до бігу та поступовому відновленні впевненості у витривалості. У навчанні англійської теж видно стабільний рух: багато коротких, але змістовних практик для слухання, граматики, лексики й говоріння, які підтримували ритм без перевантаження."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""Ти зробила багато спокійних виходів на пробіжку, часто обираючи легкий темп, інтервали або скорочення дистанції так, щоб зберегти стабільність і не перегоріти. Особливо помітні маленькі перемоги: повернення до 2–3 км, кілька рівних пробіжок без зупинок, перші довші відрізки майже до 4 км і навіть 5 км як відчутний прогрес. Дуже сильним маркером тижня стало те, що біг перестає бути просто поверненням у форму і все більше виглядає як спокійна підготовка до півмарафону з кращим відчуттям тіла та дихання.""},{""goal_id"":49,""name"":""Вивчити англійську до рівня B2"",""summary"":""Ти підтримувала навчання через короткі, але регулярні блоки: слухання подкастів і відео, повторення слів, граматичні вправи, письмові нотатки та короткі speaking practice. Окремо видно практичний зсув у бік робочої й подорожньої лексики, а також більше спроб говорити вголос і будувати фрази без постійного перекладу в голові. Найважливіше — з’являється відчуття, що B2 не виглядає абстрактною ціллю, а складається з уже знайомих інструментів і звичок.""}],""tone"":{""word"":""Steady"",""scale"":5,""description"":""Тиждень виглядає стабільним і зібраним: ти регулярно поверталася до обох цілей, обирала посильний формат і поступово нарощувала впевненість. У текстах багато спокійного самокерування, адаптації до умов і маленьких, але повторюваних кроків уперед.""},""what_worked"":[{""title"":""Легкий темп у бігу"",""description"":""Спокійні пробіжки, інтервали та скорочення дистанції допомагали зберігати регулярність без зайвого тиску на тіло.""},{""title"":""Практична англійська для життя"",""description"":""Лексика про роботу, подорожі й робочі фрази краще закріплювалась, бо одразу мала конкретне застосування.""},{""title"":""Короткі сесії без перевантаження"",""description"":""Невеликі блоки навчання й тренувань дозволяли не випадати з ритму навіть у дні втоми або низької енергії.""},{""title"":""Повторення вголос і через контекст"",""description"":""Коли ти повторювала фрази вголос, будувала власні приклади або пояснювала правила простими словами, матеріал запам’ятовувався краще.""}]}"
21_week_2025-04-14,baseline_rag,21,2025-04-14,week,,,,,,0.5588235294117647,5,16437,6.475924015045166,"{""title"":""Щотижневий звіт 14.04 – 20.04.2025"",""summary"":""Цього тижня головним фокусом було м’яке, але стабільне повернення в ритм: у бігу — через короткі та обережні тренування з поступовим нарощуванням дистанції, в англійській — через регулярне слухання, повторення лексики та невеликі speaking-практики. Загальне враження дуже позитивне: у обох напрямах видно спокійні, але відчутні кроки вперед, без поспіху й із кращим відчуттям опори на себе."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""Цього тижня ти повернулася до бігу дуже обережно й розумно: були легкі пробіжки, інтервали, короткі кроси та кілька тренувань із ходьбою між відрізками. Особливо помітно, що ти не просто виходила на тренування, а вчилася слухати тіло — зменшувала обсяг при втомі або дискомфорті, робила розтяжку й відновлення. Серед маленьких перемог — рівніше дихання, спокійніший темп і перші відчуття, що 21 км уже не виглядають недосяжними.""},{""goal_id"":49,""name"":""Вивчити англійську до рівня B2"",""summary"":""В англійській тиждень пройшов у дуже практичному ключі: слухання подкастів і відео, повторення слів, вправи на граматику, короткі письмові тексти та розмовна практика. Найкраще працювали конкретні теми, пов’язані з роботою й подорожами, а також формати, де ти одразу застосовувала нову лексику в реченнях або усному переказі. Помітно, що мова стає більш автоматичною: ти довше тримаєш увагу, сміливіше говориш і вже краще вловлюєш зміст без постійного перекладу.""}],""tone"":{""word"":""Steady"",""scale"":5,""description"":""Це був рівний і зібраний тиждень із кількома активними виходами та безперервною підтримкою обох цілей. Відчувається стабільність, обережність і поступ, але ще без ривка в режим «Driven» чи «In flow».""},""what_worked"":[{""title"":""Короткі легкі пробіжки"",""description"":""Невеликі за обсягом пробіжки допомагали зберігати ритм і не перевантажувати тіло, особливо коли енергії було менше.""},{""title"":""Слухання з практичним сенсом"",""description"":""Подкасти, відео й діалоги на теми роботи та подорожей добре заходили, бо одразу давали відчутну користь і нову лексику.""},{""title"":""Повторення через власні фрази"",""description"":""Коли ти не просто вчила слова, а складала з ними свої приклади або короткі тексти, матеріал краще запам’ятовувався.""},{""title"":""Гнучке ставлення до навантаження"",""description"":""Уміння зменшувати обсяг, коли тіло або голова були втомлені, допомогло не випадати з процесу й зберігати стабільність.""}]}"
21_week_2025-04-28,baseline_rag,21,2025-04-28,week,,,,,,0.5789473684210527,5,16376,6.913758277893066,"{""title"":""Weekly Report 28.04 – 04.05.2025"",""summary"":""Цього тижня основний фокус був на поверненні в ритм у двох напрямках: біг поступово ставав регулярнішим і спокійнішим, а англійська — більш структурованою та практичною. У обох цілях помітно багато маленьких, але стійких кроків: більше рівного темпу, більше говоріння, уважніше ставлення до тіла й до помилок. Overall week feels steadier and more confident, with a clear sense of building base rather than just trying to keep up."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""Тиждень дав багато конкретної бігової практики: були легкі пробіжки, інтервали, короткі відновлювальні сесії, а також довші відрізки до 5–7,5 км і навіть 8,5 км. Особливо помітні маленькі перемоги в рівнішому диханні, стабільнішому темпі та готовності слухати тіло, не форсуючи навантаження. Окремо варто відзначити, що підготовка вже відчувається як справжня база під півмарафон, а не просто повернення до руху.""},{""goal_id"":49,""name"":""Вивчити англійську до рівня B2"",""summary"":""Англійська цього тижня трималася на регулярній практиці: слухання, граматика, лексика, короткі письмові вправи та speaking стали більш різноманітними й прикладними. Помітні маленькі, але важливі зрушення у впевненості: стало легше говорити без довгих пауз, краще тримати фокус на змісті, а також використовувати мову для роботи й подорожей. Найсильніший плюс тижня — навчання вже відчувається як звичка, а не окрема важка подія.""}],""tone"":{""word"":""Steady"",""scale"":5,""description"":""Тиждень виглядає як стабільний рух без різких провалів чи стрибків. Є регулярність, багато повторення в різних форматах і помітне накопичення впевненості в обох цілях.""},""what_worked"":[{""title"":""Спокійний біг у розмовному темпі"",""description"":""Легкий темп і уважність до дихання допомагали повертатися до регулярності без надриву, що добре видно в багатьох пробіжках цього тижня.""},{""title"":""Інтервали та короткі прискорення"",""description"":""Короткі відрізки з ходьбою або прискореннями додавали впевненості й показували, що тіло вже готове до трохи більшої інтенсивності.""},{""title"":""Слухання з акцентом на ключові слова"",""description"":""Цей підхід робив аудіювання менш стресовим і допомагав краще ловити зміст, навіть коли не було зрозуміло кожне слово.""},{""title"":""Speaking у коротких форматах"",""description"":""Міні-розмови, самостійне проговорювання й короткі діалоги знімали напругу та поступово робили мовлення автоматичнішим.""}]}"
21_week_2025-05-26,baseline_rag,21,2025-05-26,week,,,,,,0.59375,5,16550,11.698086023330688,"{""title"":""Щотижневий звіт 26.05.2025 – 01.06.2025"",""summary"":""Цього тижня було видно дуже спокійне й послідовне повернення в ритм: у бігу — через обережні, але регулярні виходи з поступовим нарощуванням дистанції, в англійській — через короткі, але стабільні сесії з лексикою, граматикою та speaking. Загальне враження — тиждень про дисципліну без надриву: багато уважності до себе, адаптації під самопочуття й кілька помітних внутрішніх зрушень."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""Протягом тижня ти не просто виходила на біг, а робила це дуже свідомо: чергувала легкі пробіжки, інтервали, відновлювальні дні, ходьбу й розтяжку, коли це було потрібно. Особливо помітні маленькі перемоги — стабільні 2–3 км, спокійніші довгі відрізки, кілька виходів у складну погоду та перші відчуття, що 21 км уже не здаються недосяжними.\n\nСильним результатом виглядає не лише зростання витривалості, а й новий стиль підготовки: ти краще слухаєш тіло, не форсуєш темп і вмієш зберігати серію навіть у непрості дні. Це дуже зрілий крок у бік півмарафону, бо база будується саме так — через стабільність, терпіння і поступове збільшення навантаження.""},{""goal_id"":49,""name"":""Вивчити англійську до рівня B2"",""summary"":""Цього тижня англійська була присутня майже щодня у дуже практичному форматі: слухання, повторення лексики, граматика, письмові вправи та короткі speaking-сесії. Ти працювала не лише з теорією, а й з живими задачами — фразами для роботи, подорожей, листів і коротких розмов, що добре наближає до B2.\n\nНайпомітніші маленькі перемоги — більше автоматизму у фразах, менше страху говорити вголос, краща витримка на listening і помітно природніше письмо. Особливо цінно, що ти не просто повторювала матеріал, а почала вбудовувати англійську в день, тож мова поступово стає не окремою вправою, а реальним інструментом.""}],""tone"":{""word"":""Focused"",""scale"":5,""description"":""Тиждень виглядає зібраним і цілеспрямованим: у двох головних напрямах є регулярність, свідомі корекції навантаження й чіткі маленькі кроки вперед. Водночас це ще не повна легкість, а радше стабільна робота з концентрацією на процесі та якості.""},""what_worked"":[{""title"":""Обережна регулярність у бігу"",""description"":""Легкі пробіжки, інтервали та відновлення чергувалися так, що прогрес ішов без перевантаження.""},{""title"":""Практична англійська у щоденному режимі"",""description"":""Фрази для роботи, подорожей і speaking drills добре працювали, бо одразу були прив’язані до реальних ситуацій.""},{""title"":""Слухання без перекладу"",""description"":""Коли ти намагалася ловити ключові слова й зміст, а не кожне слово окремо, напруга помітно зменшувалася.""},{""title"":""Повага до сигналів тіла"",""description"":""У бігу ти не ігнорувала втому чи дискомфорт, а коригувала обсяг — і це допомогло зберегти ритм.""}]}"
21_week_2025-06-02,baseline_rag,21,2025-06-02,week,,,,,,0.4090909090909091,5,16493,7.780014514923096,"{""title"":""Щотижневий звіт 02.06 – 08.06.2025"",""summary"":""Цього тижня головний фокус був на м’якому, але регулярному поверненні до бігу й відновленні впевненості в тілі. У тренуваннях добре працювали обережність, поступове збільшення навантаження та уважність до сигналів організму — це дало відчуття стабільного руху вперед без надриву."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""За тиждень було багато різних форматів бігу: легкі пробіжки, інтервали, короткі кроси та спокійні тренування в розмовному темпі. Особливо помітні маленькі перемоги — 2–3 км без напруги, 25 хвилин у комфортному темпі, рівніші відчуття в диханні та перші кроки до довших дистанцій без страху.\n\nТакож ти показала дуже зрілий підхід до навантаження: скорочувала дистанцію, коли тіло просило паузи, додавала розминку, розтяжку й відновлення, а силові для кора, сідниць і ніг підтримували базу для бігу. У підсумку тиждень виглядає як впевнений старт регулярності, де з’являється не лише витривалість, а й спокійне ставлення до процесу.""},{""goal_id"":49,""name"":""Вивчити англійську до рівня B2"",""summary"":""У навчанні цього тижня було багато практики, спрямованої на реальне використання мови: слухання подкастів і коротких діалогів, повторення лексики, граматичні вправи та спроби говорити вголос. Особливо корисними виглядають короткі, але регулярні сесії — вони допомогли тримати контакт із мовою навіть у дні, коли енергії було менше.\n\nПомітні маленькі успіхи є в speaking і listening: ти частіше ловиш головну думку без перекладу, менше боїшся говорити, починаєш думати простими англійськими фразами й впевненіше використовуєш практичну лексику для роботи та подорожей. Це виглядає як стабільне наближення до B2 через звичку, а не через ривок.""}],""tone"":{""word"":""Focused"",""scale"":6,""description"":""Тиждень виглядає зібраним і цілеспрямованим: у двох напрямах було багато свідомих, регулярних дій. Помітно, що ти не просто виконувала вправи, а будувала систему — з увагою до тіла, мови й довгострокового прогресу.""},""what_worked"":[{""title"":""Обережне нарощування бігу"",""description"":""Легкий темп, інтервали й поступове збільшення дистанції допомогли повертати форму без зайвого тиску на тіло.""},{""title"":""Силова підтримка для бігу"",""description"":""Робота на кор, сідниці, ноги й розтяжка після пробіжок підтримували відчуття зібраності та стабільності.""},{""title"":""Короткі мовні сесії щодня"",""description"":""Навіть 10–20 хвилин лексики, повторення або listening допомагали не випадати з ритму й накопичувати прогрес.""},{""title"":""Speaking без надлишкового контролю"",""description"":""Спроби говорити вголос, писати прості тексти й відповідати без паніки поступово знімали страх і робили мову живішою.""}]}"
21_week_2025-05-19,baseline_rag,21,2025-05-19,week,,,,,,0.5454545454545454,5,16366,6.89647650718689,"{""title"":""Weekly Report 19.05 – 25.05"",""summary"":""Цього тижня було багато м’якого, але дуже послідовного повернення до двох ключових напрямів: бігу та англійської. У обох темах видно однакову лінію — більше спокою, менше внутрішнього тиску, і саме це дало відчутний рух уперед."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""Ти кілька разів виходила на біг у дуже різних умовах — після роботи, у спеку, під дощем, на ранкових і коротких сесіях — і зберігала регулярність без надриву. Особливо важливими виглядають спокійні пробіжки 2–5 км, інтервали, легкі темпові відрізки та довші кроси, де ти вже відчувала стабільніше дихання, рівніший крок і менше напруги в голові. Додатково добре підтримали процес розтяжка, мобільність і силові для кора, сідниць і ніг — вони допомагали будувати базу під довші дистанції.""},{""goal_id"":49,""name"":""Вивчити англійську до рівня B2"",""summary"":""Цього тижня ти тримала англійську в ритмі через слухання, граматику, лексику та короткі speaking-сесії. Особливо корисними були нотатки зі словами, практика фраз для роботи й подорожей, вправи на часові форми та невеликі розмовні тренування, де ти вже частіше формулювала думки без довгого перекладу в голові. Помітно, що тебе підтримують короткі, конкретні формати навчання: вони допомагають не випадати з процесу й поступово роблять мову більш автоматичною.""}],""tone"":{""word"":""Steady"",""scale"":5,""description"":""Тиждень виглядає рівним і зібраним: ти не форсувала процес, але стабільно рухалася вперед у двох напрямках. У записах багато ознак спокійної дисципліни, адаптації й помітних маленьких перемог.""},""what_worked"":[{""title"":""Легкі й регулярні пробіжки"",""description"":""Короткі спокійні виходи, інтервали та рівний темп працювали, бо дозволяли повертати форму без зайвого тиску на тіло.""},{""title"":""Чіткі мовні міні-сесії"",""description"":""Короткі блоки з лексикою, speaking і повторенням допомагали тримати англійську в щоденному ритмі навіть у завантажені дні.""},{""title"":""Практичні теми для англійської"",""description"":""Слова й фрази про роботу, подорожі та реальні ситуації швидко закріплювалися, бо були безпосередньо корисними.""},{""title"":""Силова підтримка та відновлення"",""description"":""Розтяжка, мобільність і силові для бігу допомагали зберігати відчуття контролю й будувати міцнішу базу.""}]}"
21_week_2025-05-12,baseline_rag,21,2025-05-12,week,,,,,,0.5636363636363636,5,16486,7.776004791259766,"{""title"":""Weekly Report 12.05 – 18.05"",""summary"":""Цього тижня було видно дуже уважне й обережне повернення до регулярного бігу: короткі легкі пробіжки, інтервали, розтяжка та силова підтримка допомогли тримати ритм без поспіху. В англійській теж був чіткий рух уперед: регулярна практика слухання, граматики, лексики та speaking поступово зменшувала страх і додавала впевненості."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""Було багато свідомо обраних легких і помірних тренувань: 2 км, 2,5 км, майже 3 км, 3 км без зупинки, 5 км майже без зупинок, а також інтервали й короткі відновлювальні дні. Особливо помітні маленькі перемоги в стабільності: ти не поспішала, слухала тіло, додавала розтяжку й силову роботу для кора, сідниць, ніг і корпусу.\n\nНайсильніше зросла внутрішня впевненість: з’являлися спокій замість напруги, рівніше дихання, відчуття, що півмарафон уже не фантазія, а план. Окремо тішить, що ти почала сприймати обережність як частину підготовки, а не як крок назад.""},{""goal_id"":49,""name"":""Вивчити англійську до рівня B2"",""summary"":""Тиждень був насичений різними форматами: слухання подкастів і відео, граматичні вправи, словничок для роботи й подорожей, письмові нотатки та регулярна speaking-практика. Дуже помітно, що навчання стало системнішим: ти планувала теми, повторювала лексику в різних контекстах і використовувала короткі вікна часу для практики.\n\nОкремий маленький успіх — менше страху говорити й більше автоматизму у фразах. Ти вже краще вловлюєш головну думку на слух, сміливіше пишеш і поступово починаєш думати простішими англійськими конструкціями.""}],""tone"":{""word"":""Focused"",""scale"":6,""description"":""Тиждень виглядає зібраним і цілеспрямованим: і в бігу, і в англійській було багато регулярної практики з чітким наміром рухатися вперед. Водночас у записах багато уважності до деталей, тіла й якості виконання, що додає відчуття зрілого фокусу.""},""what_worked"":[{""title"":""Легкий і свідомий біг"",""description"":""Працювали короткі, спокійні пробіжки та інтервали без надриву — вони допомогли повертати витривалість і не втрачати ритм.""},{""title"":""Слухання англійської в різних форматах"",""description"":""Подкасти, відео й діалоги добре підтримували розуміння на слух, бо давали знайомі слова в живому контексті.""},{""title"":""Міні-практика speaking"",""description"":""Короткі розмови, самостійне проговорювання думок і тренування з додатком поступово знімали страх і робили мовлення природнішим.""},{""title"":""Лексика з реальним застосуванням"",""description"":""Списки фраз для роботи, подорожей і побутових ситуацій працювали особливо добре, бо були одразу прив’язані до конкретних сценаріїв.""}]}"
