sample_id,method,user_id,period_start,period_type,diversity,normalized_diversity,temporal_coverage,temporal_breadth,context_precision,faithfulness_report,answer_relevancy_report,report_tokens_used,report_generation_time,generated_text
21_week_2025-05-26,raw_generation,21,2025-05-26,week,,,,,,0.5365853658536586,5,16423,6.408031463623047,"{""title"":""Щотижневий звіт 26.05.2025 – 01.06.2025"",""summary"":""Цього тижня було багато спокійного, але дуже змістовного руху в обох напрямах. У бігу з’явилися рівність, обережна впевненість і відчуття, що база справді повертається; в англійській — більше автоматизму, сміливості в говорінні та кращий контроль над базовою граматикою й лексикою. Загальне враження — тиждень стабільного, зрілого прогресу без зайвого тиску."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""Цього тижня ти кілька разів виходила на біг у різному форматі: легкі пробіжки, інтервали, трохи довші відрізки та відновлювальні дні. Особливо помітні маленькі перемоги — рівніший темп, спокійніше дихання, 3 км без зупинки, майже 4 км, а також відчуття, що півмарафон уже перестає бути чимось далеким. Дуже цінно, що ти слухала тіло, робила розтяжку й коригувала навантаження, зберігаючи ритм без надриву.""},{""goal_id"":49,""name"":""Вивчити англійську до рівня B2"",""summary"":""В англійській цього тижня було багато практики, яка напряму підсилює B2: слухання, speaking, короткі тексти, повторення лексики та граматики. Помітно виросла впевненість у розмові — ти частіше говорила без внутрішнього перекладу, краще тримала фокус на слуханні та використовувала готові фрази для роботи й подорожей. Окремо тішить, що навчання стало частиною режиму, а не окремою подією.""}],""tone"":{""word"":""Focused"",""scale"":6,""description"":""Тиждень виглядає зосередженим і цілеспрямованим: у обох цілях є регулярна практика, чіткі маленькі кроки та помітне укріплення навичок. Багато записів показують спокійне, свідоме коригування навантаження й упевнене просування вперед.""},""what_worked"":[{""title"":""Спокійний темп у бігу"",""description"":""Легкі пробіжки, інтервали й поступове збільшення дистанції працювали, бо ти не форсувала події й дала тілу адаптуватися.""},{""title"":""Слухання з опорою на ключові слова"",""description"":""В англійській такий підхід знімав напругу й допомагав краще вловлювати зміст без спроби зрозуміти кожне слово.""},{""title"":""Практична лексика"",""description"":""Слова й фрази для роботи, подорожей і побутових ситуацій добре закріплювалися, бо були одразу пов’язані з реальним використанням.""},{""title"":""Speaking без зайвого перфекціонізму"",""description"":""Коли ти зосереджувалася на тому, щоб бути зрозумілою, а не ідеальною, говоріння ставало вільнішим і природнішим.""}]}"
21_week_2025-04-07,raw_generation,21,2025-04-07,week,,,,,,0.7666666666666667,3,7509,5.669004201889038,"{""title"":""Щотижневий звіт 07.04 – 13.04.2025"",""summary"":""Цього тижня головним фокусом було м’яке й послідовне повернення до регулярного бігу. У записах багато уваги до рівного темпу, обережного нарощування дистанції та спокійного ставлення до сигналів тіла, що дало відчутне відчуття стабільності й упевненості."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""Протягом тижня було зроблено кілька легких пробіжок, інтервали, короткі відновлювальні рухові сесії та силову підтримку для кора, сідниць і ніг. Особливо помітні маленькі перемоги: повернення до бігу без паніки, рівніший подих, спокійніший темп і перші пробіжки майже на 3 км, що підтримали відчуття прогресу. Також важливо, що підготовка почала виглядати не як разові спроби, а як більш регулярна система з увагою до відновлення.""}],""tone"":{""word"":""Focused"",""scale"":5,""description"":""Тиждень виглядає зібраним і цілеспрямованим: у записах багато свідомих рішень, обережного прогресу та роботи на стабільність. Є концентрація на процесі й відчутний рух уперед без зайвої метушні.""},""what_worked"":[{""title"":""Спокійний темп"",""description"":""Легкий, розмовний темп допомагав тримати рівне дихання і не перетворювати кожне тренування на боротьбу.""},{""title"":""Інтервали з ходьбою"",""description"":""Чергування бігу й ходьби дозволяло безпечно повертати навантаження і краще переносити тренування.""},{""title"":""Увага до тіла"",""description"":""Коли ти зменшувала обсяг або завершувала тренування раніше через сигнали тіла, це допомагало зберігати спокій і не накопичувати перевантаження.""},{""title"":""Післятренувальна розтяжка"",""description"":""Розтяжка литок, стегон і відновлювальні практики добре підтримували ноги й допомагали завершувати тренування з відчуттям турботи про себе.""}]}"
21_week_2025-04-14,raw_generation,21,2025-04-14,week,,,,,,0.6363636363636364,5,16403,6.37613844871521,"{""title"":""Weekly Report 14.04 – 20.04"",""summary"":""Цього тижня головний фокус був на м’якому, але регулярному поверненні до бігу та на підтримці стабільної англійської практики. У бігу особливо помітні спокій, уважність до тіла й кілька маленьких кроків уперед, а в англійській — поступове розширення словника, повторення граматики й більше впевненості в говорінні. Загальне враження — тиждень із дуже здоровою, зібраною динамікою без надриву."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""Тиждень показав дуже послідовне повернення до бігу: були короткі й легкі пробіжки, інтервали, рівний темп і кілька довших відрізків, зокрема майже 3 км, 5 км, 5,5 км і до 6 км. Особливо цінно, що ти не поспішала, слухала тіло, коригувала навантаження під втому, спеку чи дискомфорт, і при цьому зберігала ритм. Окремо виділяються моменти, коли з’являлися спокій, впевненість і відчуття, що підготовка до півмарафону вже стає реальним планом, а не просто ідеєю.""},{""goal_id"":49,""name"":""Вивчити англійську до рівня B2"",""summary"":""У навчанні було багато корисної стабільності: повторення лексики, вправи на граматику, listening, speaking і короткі письмові практики. Помітно, що ти не лише закріплюєш базу, а й починаєш говорити сміливіше, краще тримати увагу на слуханні та частіше використовувати англійську для робочих і побутових тем. Маленькі щоденні кроки тут складаються в дуже відчутний прогрес, особливо в автоматизованості фраз і спокійнішому ставленні до помилок.""}],""tone"":{""word"":""Focused"",""scale"":6,""description"":""Це був зосереджений тиждень із чітким рухом у двох напрямках: біг і англійська. В обох сферах видно дисципліну, уважність до деталей і багато свідомих маленьких рішень, які накопичують результат.""},""what_worked"":[{""title"":""Рівний, обережний темп"",""description"":""Спокійні пробіжки без поспіху допомагали тримати регулярність і краще чути сигнали тіла.""},{""title"":""Короткі, але часті мовні блоки"",""description"":""Невеликі сесії англійської на 10–20 хвилин добре працювали, бо зберігали контакт із мовою без перевантаження.""},{""title"":""Практичні теми"",""description"":""У мові особливо добре заходили слова й фрази для роботи, подорожей і реальних ситуацій — вони одразу відчувались корисними.""},{""title"":""Гнучке реагування на стан"",""description"":""Коли ти зменшувала навантаження через втому чи дискомфорт, це допомагало не випадати з ритму й берегти стабільність.""}]}"
21_week_2025-05-12,raw_generation,21,2025-05-12,week,,,,,,0.5384615384615384,5,16380,5.96611475944519,"{""title"":""Щотижневий звіт 12.05 – 18.05 2025"",""summary"":""Цього тижня головним фокусом було повернення до регулярного бігу через дуже обережний, розумний формат тренувань. Видно, як поступово з’являються ритм, спокій у тілі та більше впевненості перед довшими дистанціями. В англійській зберігалася стабільна практика, з акцентом на граматику, listening, speaking і корисну лексику для роботи та подорожей."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""Протягом тижня було багато легких пробіжок, інтервалів, коротких кросів і обережних повернень після відпочинку або дискомфорту. Особливо помітні маленькі перемоги: рівніший подих, спокійніше ставлення до навантаження, перші довші відрізки та відчуття, що півмарафон уже не здається таким далеким. Також добре працювали розминка, розтяжка, силові для кора й сідниць та відновлювальні дні, які допомагали берегти форму й тримати стабільність.""},{""goal_id"":49,""name"":""Вивчити англійську до рівня B2"",""summary"":""Було багато практики в різних форматах: граматичні вправи, слухання подкастів і відео, speaking practice, короткі тексти, картки зі словами та робоча лексика. Помітно зростає автоматизм: з’являється більше розуміння без перекладу, легше будувати зв’язні фрази, а говоріння стає менш напруженим. Особливо сильними кроками виглядають регулярне повторення, практичні теми для роботи й подорожей та готовність говорити навіть коротко, але впевнено.""}],""tone"":{""word"":""Focused"",""scale"":6,""description"":""Тиждень виглядає зібраним і цілеспрямованим: у бігу є чітке повернення до ритму, а в англійській — системна робота з різними навичками. Є стабільність, дисципліна й помітні конкретні зрушення, хоча ще зберігається обережність і потреба в адаптації.""},""what_worked"":[{""title"":""Легкий і регулярний біг"",""description"":""Спокійний темп, короткі дистанції та інтервали допомагали повертатися до форми без зайвого тиску.""},{""title"":""Відновлення після навантаження"",""description"":""Розтяжка, ходьба, мобільність і силові вправи підтримували тіло й робили тренування безпечнішими.""},{""title"":""Практика speaking англійською"",""description"":""Короткі усні спроби, тренування з додатком і розмова з колегою знижували страх говорити й додавали впевненості.""},{""title"":""Лексика з реальних ситуацій"",""description"":""Слова й фрази для роботи, подорожей, аеропорту та листування краще запам’ятовувалися, бо були одразу корисними.""}]}"
21_week_2024-12-30,raw_generation,21,2024-12-30,week,,,,,,0.2571428571428571,3,7549,5.670566558837891,"{""title"":""Weekly Report 30.12.2024 – 05.01.2025"",""summary"":""Цього тижня головним фокусом було м’яке та чесне повернення до регулярного бігу: короткі легкі пробіжки, інтервали, ходьба в паузах і уважність до самопочуття. У записах багато спокою, самопідтримки та маленьких, але помітних кроків уперед — від перших 2 км до відчуття, що рух знову стає частиною режиму."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""Цього тижня ти кілька разів виходила на біг у дуже різних форматах: легкі 20–25 хвилин, інтервали 3/2 і 5×4 хвилини, а також спокійні короткі кроси після роботи та вранці. Окремо тішить, що з’являлися й довші відрізки — майже 3 км, 4 км і 5 км майже без зупинок, що вже відчутно зміцнює базу. Найважливіші маленькі перемоги — рівніше дихання, спокійніший темп, уважність до тіла й перші думки про півмарафон без страху.""}],""tone"":{""word"":""Focused"",""scale"":5,""description"":""Тиждень виглядає зосередженим і дуже свідомим: у центрі був не рекорд, а стабільне повернення в ритм. Багато рішень приймалися з уважністю до відчуттів, і це дало відчутний прогрес без зайвого напруження.""},""what_worked"":[{""title"":""Легкий темп"",""description"":""Спокійні пробіжки без поспіху допомагали зберігати ритм і помічати, що дихання стає рівнішим.""},{""title"":""Інтервали з ходьбою"",""description"":""Чергування бігу й ходьби дозволяло тренувати витривалість без надриву та давало відчуття контрольованого прогресу.""},{""title"":""Уважність до тіла"",""description"":""Коли темп і дистанцію коригували за відчуттями, тренування завершувалися спокійно й без зайвого ризику.""},{""title"":""Біг як перезавантаження"",""description"":""Пробіжки після роботи або в напружені дні допомагали розвантажити голову й повертали відчуття легкості.""}]}"
21_week_2025-06-02,raw_generation,21,2025-06-02,week,,,,,,0.5806451612903226,4,16385,7.121347188949585,"{""title"":""Щомісячний звіт за червень 2025"",""summary"":""У червні головним фокусом стало м’яке, але дуже послідовне повернення до регулярного бігу та поступова побудова бази під півмарафон. Паралельно англійська все більше переходила зі статусу окремої задачі у стабільну навичку: зросли впевненість у speaking, розуміння на слух і звичка повертатися до навчання без зайвого тиску."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""Протягом місяця було багато спокійних пробіжок, інтервалів, легких темпових відрізків і довших дистанцій, поступово зростали витривалість і довіра до власного ритму. Особливо помітні маленькі перемоги: контроль дихання, рівний темп, обережне ставлення до сигналів тіла та відчуття, що 21 км уже не виглядають недосяжними. Утвердилася корисна звичка не форсувати навантаження, а будувати форму стабільно й розумно.""},{""goal_id"":49,""name"":""Вивчити англійську до рівня B2"",""summary"":""Навчання було регулярним і різноманітним: слухання, граматика, лексика, письмова практика, короткі та довші speaking-сесії, робочі фрази й теми для подорожей. Найважливіші зрушення — менше страху говорити, краще утримання фокусу під час аудіювання, природніше письмо та поява відчуття, що мова вже використовується в реальних ситуаціях. До кінця місяця відчувається не просто прогрес, а більш зріла й стабільна основа для подальшого руху до B2.""}],""tone"":{""word"":""Focused"",""scale"":6,""description"":""Місяць виглядає зібраним і цілеспрямованим: у двох напрямах є чіткий рух, регулярна практика та відчутні зміни. Відчувається багато свідомих рішень, уважності до процесу й накопичення впевненості.""},""what_worked"":[{""title"":""Спокійний біг у розмовному темпі"",""description"":""Коли темп був м’яким і без надриву, легше вдавалося зберігати регулярність, рівне дихання й внутрішній спокій.""},{""title"":""Слухання з акцентом на ключові слова"",""description"":""Такий підхід зменшував напругу в аудіюванні й допомагав краще вловлювати зміст без спроби зрозуміти кожне слово.""},{""title"":""Міні-практика speaking без тиску"",""description"":""Короткі розмови, speaking drills і говоріння про буденні теми добре спрацьовували, бо знімали страх і поступово автоматизували фрази.""},{""title"":""Практична лексика для роботи й подорожей"",""description"":""Слова та фрази, які одразу можна уявити в реальній ситуації, краще закріплювалися і давали відчуття користі.""}]}"
21_week_2025-04-21,raw_generation,21,2025-04-21,week,,,,,,0.5490196078431373,5,16386,6.289578676223755,"{""title"":""Weekly Report 21.04 – 27.04"",""summary"":""Цього тижня головний фокус був на м’якому, але впевненому поверненні до регулярного бігу та поступовому нарощуванні витривалості. У тренуваннях багато разів відчувається уважність до тіла, спокійніший темп і готовність коригувати навантаження без втрати ритму — це дуже зрілий і стійкий підхід. Паралельно англійська трималась у регулярній практиці: граматика, лексика, слухання й speaking поступово ставали більш природною частиною дня."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""За тиждень було багато легких і помірних пробіжок, інтервалів, коротких кросів і відновлювальних днів, що дало відчуття повернення в режим без надриву. Особливо помітні маленькі перемоги: дистанції поступово зростали, дихання ставало рівнішим, а з’являлося більше спокою й упевненості у власній формі. Окремо тішить, що біг уже сприймається не як разовий старт, а як частина підготовки до півмарафону.""},{""goal_id"":49,""name"":""Вивчити англійську до рівня B2"",""summary"":""У навчанні було багато різних форматів: слухання подкастів і відео, граматика, картки з лексикою, письмові вправи та розмовна практика. Важливо, що з’являлося більше автоматизму у фразах, краще розуміння змісту без перекладу і сміливіше speaking, особливо на робочі та побутові теми. Маленькі, але регулярні кроки добре підтримували відчуття прогресу й наближення до B2.""}],""tone"":{""word"":""Focused"",""scale"":5,""description"":""Тиждень виглядає зосередженим і цілеспрямованим: у бігу є чіткий рух до стабільності, а в англійській — системна, різнопланова практика. Водночас темп лишається спокійним і уважним до ресурсів, без зайвого тиску.""},""what_worked"":[{""title"":""Легкий і контрольований біг"",""description"":""Спокійний темп, інтервали й уважність до відчуттів допомагали тримати регулярність без перевантаження.""},{""title"":""Адаптація навантаження"",""description"":""Коли з’являлась втома, спека чи дискомфорт, зменшення обсягу дозволяло зберігати ритм і не випадати з процесу.""},{""title"":""Короткі, але регулярні англійські сесії"",""description"":""Навіть 10–20 хвилин лексики, повторення чи speaking підтримували звичку і не давали втрачати контакт із мовою.""},{""title"":""Практичні теми в англійській"",""description"":""Лексика для роботи, подорожей і побутових ситуацій краще закріплювалась, бо одразу здавалася корисною в реальному житті.""}]}"
21_week_2025-05-19,raw_generation,21,2025-05-19,week,,,,,,0.6666666666666666,5,16465,6.902940988540649,"{""title"":""Щотижневий звіт 19.05 – 25.05 2025"",""summary"":""Цього тижня основний фокус був на поверненні стабільного бігу та спокійному відновленні ритму після пауз і напруження. Видно дуже зрілий підхід: ти багато разів обирала помірне навантаження, слухала тіло й водночас не втрачала регулярність. Англійська теж ішла в руслі системності — через короткі, але часті практики з лексикою, граматикою та говорінням."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""Ти кілька разів виходила на легкі пробіжки, інтервали, короткі кроси й поступово збільшувала дистанцію до майже 4 км, 5 км і далі. Особливо сильними виглядають моменти, коли ти завершувала тренування спокійно, без паніки, додавала розтяжку, відновлення та силову підтримку для кора, сідниць і ніг.\n\nНайцінніше — ти будувала не лише обсяг, а й витривалість та довіру до себе: рівне дихання, більш стабільний темп, менше страху перед довшими дистанціями. У тижні багато маленьких перемог, які складаються в дуже переконливе повернення до підготовки до півмарафону.""},{""goal_id"":49,""name"":""Вивчити англійську до рівня B2"",""summary"":""Ти працювала регулярно й різнопланово: слухання, граматика, лексика для роботи й подорожей, письмові нотатки, короткі перекази та speaking practice. Добре видно, що ти не просто повторюєш матеріал, а переносиш його в реальні ситуації — робочі фрази, листи, small talk, подорожі.\n\nОкремо тішить прогрес у впевненості: ти частіше говориш вголос, менше залежиш від перекладу в голові й краще тримаєш фокус на змісті. Це дуже схоже на стабільний рух до B2 через практику, а не через напругу.""}],""tone"":{""word"":""Focused"",""scale"":6,""description"":""Тиждень виглядає зібраним і цілеспрямованим: у бігу та англійській видно регулярну роботу, свідомі коригування навантаження й багато маленьких кроків вперед. Є дисципліна, уважність до себе і чіткий рух до двох важливих цілей.""},""what_worked"":[{""title"":""Легкий темп і слухання тіла"",""description"":""Помірні пробіжки, скорочення дистанції за потреби та акцент на відновленні допомогли зберегти регулярність без надриву.""},{""title"":""Короткі, але часті сесії англійської"",""description"":""Невеликі блоки лексики, граматики й speaking добре працювали, бо не вимагали «ідеального» настрою і легко вбудовувались у день.""},{""title"":""Практичні теми для англійської"",""description"":""Лексика про роботу, подорожі й реальні розмовні ситуації мотивувала більше, бо одразу відчувалась корисною.""},{""title"":""Поступове нарощування бігу"",""description"":""Інтервали, спокійні довші відрізки та контроль темпу дали відчуття повернення форми й підготовки до більш серйозної дистанції.""}]}"
21_week_2025-04-28,raw_generation,21,2025-04-28,week,,,,,,0.7297297297297297,5,16421,6.308821678161621,"{""title"":""Щотижневий звіт 28.04.2025 – 04.05.2025"",""summary"":""Цей тиждень був про м’яке, але послідовне повернення в ритм у двох напрямах: біг став стабільнішою частиною режиму, а англійська — регулярною практикою без надриву. У обох цілях особливо видно зростання через спокійніші, більш усвідомлені підходи: слухати тіло, коригувати навантаження, повторювати ключове й не зациклюватися на ідеальності."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""За тиждень було багато коротких і легких пробіжок, інтервалів, відновлювальних днів і кілька довших відрізків — від 2 км до майже 7,5 км. Помітно, що ти не просто повернула регулярність, а вже починаєш будувати базу: тримаєш рівний темп, уважніше ставишся до сигналів тіла і впевненіше дивишся на дистанцію півмарафону. Особливо сильними виглядають моменти, де вдалося завершити тренування спокійно, без паніки, навіть коли було важко або хотілося зупинитися раніше.""},{""goal_id"":49,""name"":""Вивчити англійську до рівня B2"",""summary"":""Цього тижня англійська трималася на регулярному міксі слухання, граматики, лексики й короткого speaking, з акцентом на практичні теми: робота, подорожі, листи, дзвінки. Найкраще працювали короткі, конкретні формати — повторення фраз, міні-розмови, вправи на слухання з ключовими словами та власні приклади, бо вони допомагали не просто вчити, а одразу застосовувати мову. Відчутний прогрес видно у більшому спокої під час говоріння, кращому розумінні на слух і в тому, що мова все частіше стає частиною дня, а не окремим завданням.""}],""tone"":{""word"":""Focused"",""scale"":6,""description"":""Тиждень виглядає сфокусованим, бо в обох цілях було чітке, послідовне просування без розпорошення: тренування, повторення, корекція й закріплення. Відчувається дисципліна та ясний напрям, а не просто активність заради активності.""},""what_worked"":[{""title"":""Легкі й контрольовані пробіжки"",""description"":""Спокійний темп, короткі дистанції та уважність до тіла допомогли зберігати регулярність і не перевантажуватися.""},{""title"":""Інтервали й поступове подовження"",""description"":""Чергування бігу й ходьби та плавне збільшення дистанції дали відчуття росту без зайвого тиску.""},{""title"":""Практичний speaking"",""description"":""Короткі розмови, перекази й проговорювання простих тем зняли напругу й зробили англійську більш живою.""},{""title"":""Навчання через реальні ситуації"",""description"":""Лексика для роботи, подорожей і листів добре закріплювалася, бо була одразу прив’язана до конкретного використання.""}]}"
21_week_2025-05-05,raw_generation,21,2025-05-05,week,,,,,,0.7555555555555555,5,16408,6.07662558555603,"{""title"":""Щотижневий звіт 05.05 – 11.05"",""summary"":""Цього тижня головним фокусом було м’яке, але дуже послідовне повернення до регулярного бігу та поступове відновлення форми. У тренуваннях багато разів звучали обережність, рівний темп і уважність до сигналів тіла, і саме це дало відчуття спокою та контролю. Англійська теж рухалася в стабільному ритмі: через короткі, але регулярні практики, повторення лексики та speaking ставала більш живою й менш напруженою."",""goals"":[{""goal_id"":48,""name"":""Повернути регулярний біг і підготуватися до півмарафону"",""summary"":""Протягом тижня було багато легких пробіжок, інтервалів, коротких кросів і відновлювальних днів, які допомогли зберегти ритм без надриву. Особливо помітні маленькі перемоги: повернення до 2–3 км, рівніші відчуття в диханні, а також перші впевненіші думки про півмарафон як про реальний план, а не далеку мрію. Окремо варто відзначити уважне ставлення до коліна, стопи та втоми — це підтримало прогрес і дало відчуття зрілої підготовки.""},{""goal_id"":49,""name"":""Вивчити англійську до рівня B2"",""summary"":""Цього тижня англійська трималася на регулярній практиці: слухання, граматика, лексика, короткі письмові вправи й невеликі speaking-сесії. Помітно зміцнилася база — з’явилось більше автоматизму у фразах, краще розуміння знайомих конструкцій і менше внутрішньої напруги під час говоріння. Найцінніший результат — відчуття, що мова поступово стає робочим інструментом, а не окремим завданням.""}],""tone"":{""word"":""Focused"",""scale"":6,""description"":""Тиждень виглядає зібраним і цілеспрямованим: у бігу та англійській простежується регулярність, уважність до процесу й чіткий рух уперед. Є стійкість, дисципліна й багато конкретних кроків без зайвого хаосу.""},""what_worked"":[{""title"":""Легкі й розумні пробіжки"",""description"":""Спокійний темп, інтервали з ходьбою та короткі відновлювальні виходи допомагали зберігати регулярність і не перевантажувати тіло.""},{""title"":""Слухання в коротких форматах"",""description"":""Подкасти, діалоги й відео невеликими порціями добре працювали, бо було легше вловлювати головну думку й ключові слова без перевантаження.""},{""title"":""Повторення лексики через реальні теми"",""description"":""Слова про подорожі, роботу й побут краще закріплювалися, коли були прив’язані до конкретних ситуацій і власних прикладів.""},{""title"":""Speaking без тиску на ідеальність"",""description"":""Короткі розмови, самостійні монологи й тренування з додатком знижували страх помилок і поступово робили мовлення більш автоматичним.""}]}"
